UT,TIME,ALTITUDE,APOAPSIS,PERIAPSIS,INCLINATION,S VELOCITY,O VELOCITY,THRUST,MASS,IDEAL PITCH,PITCH,GRAVITY,STAGE,S1 FUEL,S1 OX,S2 FUEL,S2 OX
3006543.90176012,2.36000000219792,104.174467053264,136.64294399356,0,0.0972393090455606,23.1690649937635,176.514925004359,281.497985839844,14.4649839401245,89.8243162148654,89.8765237366711,9.80659438189915,5,95.5%,95.5%,100%,100%
3006543.94176012,2.40000000223517,105.112720976933,138.49918256409,0,0.0972408004387522,23.743693702613,176.593391813181,281.506317138672,14.4578237533569,89.8207215364577,89.8734751574693,9.80654819689831,5,95.4%,95.4%,100%,100%
3006544.00176012,2.46000000229105,106.548838455114,141.341077028424,0,0.0972420785697504,24.1269349630098,176.646776800376,281.511978149414,14.453049659729,89.8182757581063,89.8715080590066,9.80651678084236,5,95.3%,95.3%,100%,100%
3006544.04176012,2.50000000232831,107.525417261524,143.274059154326,0,0.0972431921112263,24.5102988333891,176.701012168819,281.517730712891,14.4482765197754,89.8145330592577,89.8685954078161,9.80646871734858,5,95.2%,95.2%,100%,100%
3006544.10176012,2.54000000236556,109.019041129388,146.231129335123,0,0.0972447508267799,25.0855647778512,176.783954958152,281.526550292969,14.4411163330078,89.8119885479977,89.8667185740427,9.80643604873086,5,95.1%,95.1%,100%,100%
3006544.14176012,2.60000000242144,110.033975210157,148.240932197194,0,0.097245720454612,25.4692206531538,176.840318838602,281.532516479492,14.4363431930542,89.8094045157465,89.8648563464969,9.8064028785548,5,95.1%,95.1%,100%,100%
3006544.18176012,2.64000000245869,111.064261246589,150.281486529042,0,0.0972474136394043,26.0449163255479,176.926458019745,281.541656494141,14.4291820526123,89.8054543252948,89.8620755858564,9.80635218308094,5,95%,94.9%,100%,100%
3006544.24176012,2.70000000251457,112.638468024437,153.400013119914,0,0.0972489087577487,26.4288522088979,176.984949050532,281.5478515625,14.4244089126587,89.802771411703,89.8602931188779,9.80631775903299,5,94.9%,94.9%,100%,100%
3006544.28176012,2.74000000255182,113.707145096967,155.517505715368,0,0.0972504040212141,26.8128960268577,177.044244513699,281.554138183594,14.4196357727051,89.7986728224356,89.8575935416537,9.80626518181247,5,94.8%,94.8%,100%,100%
3006544.34176012,2.78000000258908,115.338972402737,158.751489920076,0,0.0972524190719353,27.3891603921752,177.134726098448,281.563751220703,14.4124755859375,89.7958909415313,89.8557639736538,9.80622950285042,5,94.7%,94.7%,100%,100%
3006544.38176012,2.84000000264496,116.446062661591,160.945994694135,0,0.0972537061765562,27.7734666083678,177.196098333673,281.570281982422,14.4077014923096,89.7930694353932,89.8538718039599,9.80619332196848,5,94.6%,94.6%,100%,100%
3006544.42176012,2.88000000268221,117.568533567712,163.171324512572,0,0.0972558037550123,28.350115211705,177.289749760609,281.580230712891,14.400541305542,89.7887628605723,89.8509726529564,9.8061381086192,5,94.5%,94.5%,100%,100%
3006544.48176012,2.94000000273809,119.281075328472,166.567137562321,0,0.0972573608250163,28.7346708536168,177.353252867568,281.586975097656,14.3957681655884,89.7858422517056,89.8489274557664,9.80610067166547,5,94.4%,94.4%,100%,100%
3006544.52176012,2.98000000277534,120.441996605601,168.869565613801,0,0.0972588144455854,29.1193202520427,177.417606572566,281.593780517578,14.3909940719604,89.7813869737477,89.8458232951826,9.80604357376292,5,94.3%,94.3%,100%,100%
3006544.58176012,3.02000000281259,122.212244270951,172.381067101378,0,0.0972614713989103,29.6964683380674,177.515736466732,281.604202270508,14.3838338851929,89.7783671994411,89.8436490495468,9.80600488028514,5,94.2%,94.2%,100%,100%
3006544.62176012,3.08000000286847,123.411648392561,174.760657130624,0,0.0972631534347499,30.0813484330877,177.582253054947,281.611267089844,14.3790607452393,89.7753077265463,89.8415022097862,9.80596568384424,5,94.2%,94.2%,100%,100%
3006544.66176012,3.12000000290573,124.626455079997,177.171118799597,0,0.0972654826774038,30.6588296502931,177.683603256532,281.622009277344,14.3719005584717,89.7706440907525,89.8382250564627,9.80590594607973,5,94.1%,94%,100%,100%
3006544.72176012,3.18000000296161,126.47753101727,180.844726984738,0,0.0972671824343264,31.0439253549805,177.752241531385,281.629302978516,14.3671264648438,89.7674853510196,89.8359863572211,9.80586549208754,5,94%,94%,100%,100%
3006544.76176012,3.22000000299886,127.730849456391,183.332420405,0,0.0972691118582474,31.429103525931,177.821712445646,281.636657714844,14.3623533248901,89.7626727591397,89.8325880831216,9.80580386743745,5,93.9%,93.9%,100%,100%
3006544.82176012,3.26000000303611,129.639708171249,187.121892064577,0,0.0972719170504468,32.0070168725347,177.927517093399,281.647888183594,14.3551931381226,89.7594147102027,89.8303102564698,9.8057621550747,5,93.8%,93.8%,100%,100%
3006544.86176012,3.32000000309199,130.931549606845,189.686851271545,0,0.0972737352912934,32.3923923693179,177.999114493209,281.655471801758,14.3504190444946,89.756116905508,89.8279574644064,9.80571993936623,5,93.7%,93.7%,100%,100%
3006544.90176012,3.36000000312924,132.238808404654,192.282725040684,0,0.0972764365059756,32.9705920170084,178.10808633812,281.667045593262,14.3432588577271,89.7510956775397,89.82440444474,9.80565567171032,5,93.6%,93.6%,100%,100%
3006544.96176012,3.42000000318512,134.228604974342,196.23450786504,0,0.0972786155254537,33.3561492237482,178.181804159135,281.674835205078,14.3384857177734,89.7476984898878,89.8219842248289,9.80561219709389,5,93.5%,93.5%,100%,100%
3006545.00176012,3.46000000322238,135.574421425117,198.907691762084,0,0.0972807933586817,33.7417758147653,178.25635128653,281.682769775391,14.3337116241455,89.7425281494594,89.8183134776271,9.80554604037065,5,93.5%,93.5%,100%,100%
3006545.06176012,3.50000000325963,137.622065029573,202.975476643187,0,0.0972838285503584,34.3203436066295,178.369740076508,281.694763183594,14.3265514373779,89.7390315300302,89.8158076966389,9.80550130633148,5,93.3%,93.3%,100%,100%
3006545.10176012,3.56000000331551,139.006456797128,205.725998576148,0,0.0972858486318996,34.706134857737,178.446384640685,281.702911376953,14.3217782974243,89.7354951446878,89.8132486506933,9.80545606801341,5,93.3%,93.3%,100%,100%
3006545.14176012,3.60000000335276,140.406273737433,208.50746457791,0,0.0972890646380889,35.2849385722658,178.56293837514,281.715240478516,14.3146181106567,89.7301159618714,89.8093407914835,9.80538726580755,5,93.2%,93.2%,100%,100%
3006545.20176012,3.66000000340864,142.5349498539,212.73769132304,0,0.0972913214099613,35.6708822030278,178.641718216202,281.723602294922,14.3098440170288,89.7264801111561,89.8066689433701,9.80534076746419,5,93.1%,93.1%,100%,100%
3006545.24176012,3.70000000344589,143.973361728014,215.596514837234,0,0.0972936218686538,36.0568803912308,178.721351205,281.732040405273,14.3050708770752,89.720951738821,89.8026232501334,9.80527007486212,5,93%,93%,100%,100%
3006545.30176012,3.74000000348315,146.159944764688,219.942800174234,0,0.0972972328069413,36.6359838460957,178.842348539546,281.744857788086,14.2979106903076,89.717216399776,89.7998922756821,9.80522231564227,5,92.9%,92.9%,100%,100%
3006545.34176012,3.80000000353903,147.636969365994,222.879004003364,0,0.0972997816506215,37.0221163280618,178.924057931967,281.753509521484,14.293137550354,89.7134412805671,89.7970616202005,9.80517405239547,5,92.8%,92.8%,100%,100%
3006545.38176012,3.84000000357628,149.129439560929,225.846165094874,0,0.0973034602680129,37.6014070191022,179.04821321724,281.766662597656,14.2859764099121,89.707703983877,89.7928076827173,9.80510071218644,5,92.7%,92.7%,100%,100%
3006545.44176012,3.90000000363216,151.397102714516,230.354935592506,0,0.0973056688179071,37.9876605429843,179.132027369663,281.775543212891,14.2812032699585,89.7038293685239,89.7899456997428,9.80505118790953,5,92.6%,92.6%,100%,100%
3006545.48176012,3.94000000366941,152.928200993105,233.399469604134,0,0.0973079650940226,38.3739571217953,179.216673758976,281.784515380859,14.2764301300049,89.697942844737,89.7855126560637,9.80497595584897,5,92.6%,92.6%,100%,100%
3006545.54176012,3.98000000370666,155.253814085037,238.024313610746,0,0.0973121974950092,38.9534812846,179.3452100218,281.798126220703,14.2692699432373,89.6939687396433,89.7825670331988,9.80492517008111,5,92.4%,92.4%,100%,100%
3006545.58176012,4.04000000376254,156.823535409407,241.146238394547,0,0.0973152812744638,39.3398832341128,179.431969847854,281.807304382324,14.2644958496094,89.6899548363499,89.7794613441979,9.80487388022022,5,92.4%,92.4%,100%,100%
3006545.62176012,4.0800000037998,158.408729866613,244.299085956765,0,0.0973192874160503,39.9195460922893,179.563666978362,281.821243286133,14.2573356628418,89.6838594131727,89.7748381271164,9.80479599849964,5,92.3%,92.3%,100%,100%
3006545.68176012,4.14000000385568,160.815489846864,249.086389600183,0,0.0973218555200906,40.3060296407872,179.652506677944,281.830657958984,14.2525625228882,89.6797460705141,89.7717717788755,9.8047434469143,5,92.2%,92.2%,100%,100%
3006545.72176012,4.18000000389293,162.4393291343,252.316604855005,0,0.0973248299745479,40.6925467509013,179.742192613066,281.840148925781,14.2477884292603,89.6735014612432,89.7670262147082,9.80466367285885,5,92.1%,92.1%,100%,100%
3006545.78176012,4.22000000393018,164.904061986366,257.219933783053,0,0.097329032942292,41.2723770478648,179.878250819544,281.854553222656,14.2406282424927,89.6692886565646,89.7638435709791,9.80460985941501,5,92%,92%,100%,100%
3006545.82176012,4.28000000398606,166.566555974423,260.527492152643,0,0.0973320167220811,41.658965279893,179.969988824871,281.864273071289,14.2358551025391,89.665036081518,89.760549275738,9.80455554088653,5,91.9%,91.9%,100%,100%
3006545.86176012,4.32000000402331,168.244503806578,263.865956551046,0,0.0973366664969212,42.2388849198303,180.109147820057,281.878997802734,14.2286949157715,89.6585827035403,89.7555946939138,9.80447311678335,5,91.9%,91.8%,100%,100%
3006545.92176012,4.38000000407919,170.790434942581,268.931638928712,0,0.0973398933273163,42.6255259237213,180.20297507213,281.888946533203,14.2239208221436,89.6542307499488,89.7522436046677,9.80441753646888,5,91.7%,91.7%,100%,100%
3006545.96176012,4.42000000411645,172.507042979007,272.347413258394,0,0.0973431608548189,43.0121873174621,180.297640671348,281.898956298828,14.2191476821899,89.647628296734,89.7471996377882,9.80433321914308,5,91.7%,91.7%,100%,100%
3006546.02176012,4.4600000041537,175.110977036995,277.529015152017,0,0.0973478741988911,43.5922072544949,180.441154541531,281.914138793945,14.2119874954224,89.6431769805188,89.743774802707,9.80427637684586,5,91.6%,91.6%,100%,100%
